text,sentiment
بازار بورس امروز روند نزولی داشت,0
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
رشد فروش شرکت امیدوارکننده است,1
شرکت در حال بررسی گزینه‌های مختلف است,2
بازار بورس امروز روند نزولی داشت,0
قیمت سهام امروز بدون تغییر بود,2
شرکت با مشکلات مالی مواجه شده است,0
سهام شرکت ریسک بالایی دارد,0
شرکت در حال مذاکره با سرمایه‌گذاران جدید است,2
شرکت در حال بررسی طرح‌های توسعه است,2
تحلیل‌گران نسبت به آینده بدبین هستند,0
قیمت سهام در محدوده مقاومت قرار دارد,2
سهام شرکت ریسک بالایی دارد,0
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
بازدهی سهام در مقایسه با شاخص کل ضعیف بود,0
سهام شرکت ریسک بالایی دارد,0
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
قیمت سهام امروز بدون تغییر بود,2
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
بازار بورس امروز روند صعودی داشت,1
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
شرکت در حال مذاکره با سرمایه‌گذاران جدید است,2
سهام شرکت ریسک بالایی دارد,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
سهام شرکت امروز با کاهش قیمت مواجه شد,0
رشد فروش شرکت کمتر از انتظارات بود,0
تحلیل‌گران نسبت به آینده بدبین هستند,0
قیمت سهام در محدوده مقاومت قرار دارد,2
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
تحلیل‌گران نسبت به آینده بدبین هستند,0
رشد فروش شرکت کمتر از انتظارات بود,0
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
تحلیل‌گران نسبت به آینده بدبین هستند,0
سهام شرکت پتانسیل رشد خوبی دارد,1
سهام شرکت امروز با کاهش قیمت مواجه شد,0
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
شرکت در حال بررسی گزینه‌های مختلف است,2
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
رشد فروش شرکت کمتر از انتظارات بود,0
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
بازار بورس امروز روند صعودی داشت,1
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
بازار بورس امروز روند نزولی داشت,0
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
بازدهی سهام در مقایسه با شاخص کل ضعیف بود,0
قیمت سهام امروز بدون تغییر بود,2
سهام شرکت امروز با کاهش قیمت مواجه شد,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
شرکت با مشکلات مالی مواجه شده است,0
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
سهام شرکت ریسک بالایی دارد,0
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
قیمت سهام در محدوده مقاومت قرار دارد,2
بازار بورس امروز روند نزولی داشت,0
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
سهام شرکت ریسک بالایی دارد,0
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
قیمت سهام در محدوده مقاومت قرار دارد,2
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
سودآوری شرکت کاهش یافته است,0
سودآوری شرکت کاهش یافته است,0
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
تحلیل‌گران نسبت به آینده بدبین هستند,0
سهام شرکت ریسک بالایی دارد,0
رشد فروش شرکت کمتر از انتظارات بود,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
تحلیل‌گران نسبت به آینده بدبین هستند,0
شرکت در حال مذاکره با سرمایه‌گذاران جدید است,2
سهام شرکت پتانسیل رشد خوبی دارد,1
رشد فروش شرکت امیدوارکننده است,1
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
شرکت با مشکلات مالی مواجه شده است,0
قیمت سهام امروز بدون تغییر بود,2
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت با مشکلات مالی مواجه شده است,0
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
بازدهی سهام در مقایسه با شاخص کل ضعیف بود,0
شرکت در حال مذاکره با سرمایه‌گذاران جدید است,2
شرکت در حال مذاکره با سرمایه‌گذاران جدید است,2
قیمت سهام امروز بدون تغییر بود,2
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
بازار بورس امروز روند صعودی داشت,1
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
سودآوری شرکت کاهش یافته است,0
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
سهام شرکت پتانسیل رشد خوبی دارد,1
رشد فروش شرکت امیدوارکننده است,1
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
قیمت سهام در محدوده مقاومت قرار دارد,2
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
قیمت سهام امروز بدون تغییر بود,2
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
سهام شرکت ریسک بالایی دارد,0
شرکت در حال بررسی طرح‌های توسعه است,2
رشد فروش شرکت کمتر از انتظارات بود,0
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
سودآوری شرکت کاهش یافته است,0
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
قیمت سهام امروز بدون تغییر بود,2
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
رشد فروش شرکت کمتر از انتظارات بود,0
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
شرکت در حال بررسی طرح‌های توسعه است,2
بازدهی سهام در مقایسه با شاخص کل ضعیف بود,0
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
رشد فروش شرکت امیدوارکننده است,1
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت با مشکلات مالی مواجه شده است,0
شرکت با مشکلات مالی مواجه شده است,0
بازار بورس امروز روند نزولی داشت,0
شرکت در حال بررسی طرح‌های توسعه است,2
رشد فروش شرکت کمتر از انتظارات بود,0
بازار بورس امروز روند نزولی داشت,0
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
شرکت با مشکلات مالی مواجه شده است,0
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
رشد فروش شرکت امیدوارکننده است,1
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
تحلیل‌گران نسبت به آینده بدبین هستند,0
قیمت سهام امروز بدون تغییر بود,2
شرکت در حال بررسی طرح‌های توسعه است,2
قیمت سهام در محدوده مقاومت قرار دارد,2
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
شرکت در حال بررسی طرح‌های توسعه است,2
سهام شرکت امروز با کاهش قیمت مواجه شد,0
قیمت سهام امروز بدون تغییر بود,2
سهام شرکت ریسک بالایی دارد,0
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
بازار بورس امروز روند صعودی داشت,1
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
بازار بورس امروز روند صعودی داشت,1
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
بازار بورس امروز روند نزولی داشت,0
قیمت سهام امروز بدون تغییر بود,2
شرکت در حال بررسی طرح‌های توسعه است,2
شرکت در حال بررسی گزینه‌های مختلف است,2
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
بازار بورس امروز روند صعودی داشت,1
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
سهام شرکت پتانسیل رشد خوبی دارد,1
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
سهام شرکت ریسک بالایی دارد,0
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
بازار بورس امروز روند صعودی داشت,1
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
سهام شرکت امروز با کاهش قیمت مواجه شد,0
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
رشد فروش شرکت امیدوارکننده است,1
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
قیمت سهام در محدوده مقاومت قرار دارد,2
سودآوری شرکت کاهش یافته است,0
سهام شرکت امروز با کاهش قیمت مواجه شد,0
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
بازار بورس امروز روند نزولی داشت,0
سودآوری شرکت کاهش یافته است,0
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
بازار بورس امروز روند صعودی داشت,1
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
شرکت در حال بررسی گزینه‌های مختلف است,2
شرکت در حال بررسی گزینه‌های مختلف است,2
سهام شرکت امروز با کاهش قیمت مواجه شد,0
شرکت در حال بررسی گزینه‌های مختلف است,2
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
شرکت با مشکلات مالی مواجه شده است,0
قیمت سهام در محدوده مقاومت قرار دارد,2
سهام شرکت پتانسیل رشد خوبی دارد,1
سهام شرکت پتانسیل رشد خوبی دارد,1
بازار بورس امروز روند صعودی داشت,1
قیمت سهام در محدوده مقاومت قرار دارد,2
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
سهام شرکت ریسک بالایی دارد,0
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
بازار بورس امروز روند صعودی داشت,1
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
رشد فروش شرکت امیدوارکننده است,1
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
بازار بورس امروز روند نزولی داشت,0
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
سهام شرکت امروز با کاهش قیمت مواجه شد,0
بازار بورس امروز روند نزولی داشت,0
تحلیل‌گران نسبت به آینده بدبین هستند,0
شرکت با مشکلات مالی مواجه شده است,0
قیمت سهام در محدوده مقاومت قرار دارد,2
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
شرکت با مشکلات مالی مواجه شده است,0
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
شرکت با مشکلات مالی مواجه شده است,0
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
رشد فروش شرکت امیدوارکننده است,1
بازار بورس امروز روند نزولی داشت,0
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
شرکت با مشکلات مالی مواجه شده است,0
قیمت سهام امروز بدون تغییر بود,2
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت در حال مذاکره با سرمایه‌گذاران جدید است,2
سهام شرکت پتانسیل رشد خوبی دارد,1
قیمت سهام در محدوده مقاومت قرار دارد,2
تحلیل‌گران پیش‌بینی می‌کنند که این روند ادامه خواهد داشت,1
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
رشد فروش شرکت امیدوارکننده است,1
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
بازدهی سهام در مقایسه با شاخص کل ضعیف بود,0
سودآوری شرکت در سه ماهه اول افزایش یافته است,1
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
تحلیل‌گران نسبت به آینده بدبین هستند,0
رشد فروش شرکت امیدوارکننده است,1
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
بازار بورس امروز روند صعودی داشت,1
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
سودآوری شرکت کاهش یافته است,0
سهام شرکت امروز با کاهش قیمت مواجه شد,0
سود هر سهم بیشتر از پیش‌بینی‌ها بود,1
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
سهام شرکت ریسک بالایی دارد,0
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
بازدهی سهام در مقایسه با شاخص کل ضعیف بود,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
تحلیل تکنیکال نشان‌دهنده روند صعودی است,1
سودآوری شرکت کاهش یافته است,0
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
شرکت در حال بررسی گزینه‌های مختلف است,2
مجمع عمومی شرکت هفته آینده برگزار می‌شود,2
بازار بورس امروز روند نزولی داشت,0
تحلیل تکنیکال نشان‌دهنده روند نزولی است,0
تحلیل‌گران در انتظار انتشار گزارش مالی هستند,2
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
بازار بورس امروز روند نزولی داشت,0
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
شرکت در حال به‌روزرسانی استراتژی‌های خود است,2
سهام شرکت امروز با کاهش قیمت مواجه شد,0
تحلیل‌گران نسبت به آینده بدبین هستند,0
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
سهام شرکت ریسک بالایی دارد,0
سودآوری شرکت کاهش یافته است,0
سهام شرکت پتانسیل رشد خوبی دارد,1
تحلیل‌گران نسبت به آینده بدبین هستند,0
قیمت سهام امروز بدون تغییر بود,2
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
بازدهی سهام در مقایسه با شاخص کل بهتر بود,1
بازار بورس امروز روند صعودی داشت,1
شرکت در زمینه صادرات پیشرفت خوبی داشته است,1
پیش‌بینی‌ها نسبت به آینده خوشبینانه نیست,0
شرکت در حال مذاکره با سرمایه‌گذاران جدید است,2
تحلیل‌گران در مورد آینده سهام نظرات مختلفی دارند,2
شرکت امروز گزارش عملکرد خود را منتشر کرد,2
رشد فروش شرکت کمتر از انتظارات بود,0
شرکت در حال بررسی طرح‌های توسعه است,2
سهام شرکت فولاد امروز با افزایش قیمت مواجه شد,1
شرکت با مشکلات مالی مواجه شده است,0
